NEW BATCH — DUPLICATE CHECK
========================================================================
Source     : scripts/toolverse.csv  (259 rows)
Catalog    : 16283 tools
SAFE TO ADD: 51
REJECTED   : 208

Rejected on any doubt, per instruction. Breakdown:
   121  same website domain
    74  exact name
     7  same name minus filler words
     6  one name extends the other


REJECTED (not added)
------------------------------------------------------------------------

### same website domain — 121
   11x                      ~ 11x
   6sense                   ~ 6Sense
   ActiveCampaign           ~ ActiveCampaign Postmark
   Adobe                    ~ Adobe Marketo Measure (formerly Bizible)
   AI Ark                   ~ AI Ark
   Aimfox                   ~ Aimfox
   Aircall                  ~ Aircall
   AISDR                    ~ AiSDR
   Albacross                ~ Albacross
   Aligned                  ~ Aligned
   Amplemarket              ~ Amplemarket
   Amplitude                ~ Amplitude
   Apify                    ~ Apify
   Attio                    ~ Attio
   Autobound.ai             ~ Autobound
   Bardeen                  ~ Bardeen AI
   BetterContact            ~ BetterContact
   Bombora                  ~ Bombora
   BounceBan                ~ BounceBan
   Breakcold                ~ Breakcold
   BuiltWith                ~ BuiltWith
   Cargo                    ~ Cargo
   ChilliPiper              ~ Chili Piper
   Clay                     ~ Clay
   Close.com                ~ Close
   CloudTalk                ~ CloudTalk
   Cognism                  ~ Cognism
   ConnectAndSell           ~ ConnectAndSell
   ContactOut               ~ ContactOut
   Databar                  ~ Databar
   Datagma                  ~ Datagma
   Day.ai                   ~ Day
   Default.com              ~ Default
   Demandbase               ~ Demandbase
   DialPad                  ~ Dialpad
   Discolike                ~ DiscoLike
   Dock                     ~ Dock
   Dust.tt                  ~ Dust
   Emailbison               ~ EmailBison
   Expandi                  ~ Expandi
   Factors.ai               ~ Factors
   Findymail                ~ Findymail
   Fireflies                ~ Fireflies
   Folk                     ~ folk
   Forager                  ~ Forager
   Freckle                  ~ Freckle
   FullEnrich               ~ FullEnrich
   FullStory                ~ Fullstory
   Gamma                    ~ Gamma
   GetAccept                ~ GetAccept
   GetResponse              ~ GetResponse MAX
   GlenCoco                 ~ Glencoco
   Gong                     ~ Gong
   Grain                    ~ Grain
   Gumloop                  ~ Gumloop
   HeyReach                 ~ DataGenie
   HubSpot                  ~ HubSpot Sales Hub
   Hunter                   ~ Hunter
   influencers.club         ~ Influencers.club
   Instantly                ~ Instantly
   Intercom                 ~ Intercom
   Iterable                 ~ Iterable
   Kaspr                    ~ Kaspr
   Kixie                    ~ Kixie
   LaGrowthMachine          ~ LaGrowthMachine
   Lavender                 ~ Lavender
   LeadIQ                   ~ LeadIQ
   LeadMagic                ~ LeadMagic
   Leandata                 ~ LeanData
