name,category,url
11x,AI SDR,https://11x.ai
6sense,ABM | Signal Tracking,https://6sense.com
ActiveCampaign,Marketing Automation | Newsletter,https://activecampaign.com
Adobe,Content Design,https://adobe.com
AdRoll,ABM | Marketing Attribution,https://adroll.com
Ahrefs,SEO,https://ahrefs.com
AI Ark,Email Finder | General Databases | Lookalike Databases,https://ai-ark.com
Aimfox,LinkedIn Sequencer,https://aimfox.com
Aircall,Cold Call Dialer,https://aircall.io
AirOps,Data Orchestration | SEO,https://airops.com
AISDR,AI SDR,https://aisdr.com
Albacross,Website Visitor Identification,https://albacross.com
Aligned,Sales Proposal Builder,https://alignedup.com
Amplemarket,All-in-one Sales Prospecting | Multi-channel Sequencer,https://amplemarket.com
Amplitude,Product Analytics,https://amplitude.com
Apify,Data Scraping,https://apify.com
Apollo,All-in-one Sales Prospecting | Cold Call Dialer | Cold Email Sequencer | General Databases | LinkedIn Sequencer | Lookalike Databases | Manual Sequencer | Multi-channel Sequencer | Signal Tracking | Website Visitor Identification,https://apollo.io
Artisan,AI SDR,https://artisan.co
Attention,AI Notetaker | CRM Enrichment | Revenue Infrastructure,https://attention.com
Attio,CRM,https://attio.com
Autobound.ai,ABM,https://autobound.ai
AWeber,Marketing Automation,https://aweber.com
Bamboobox,ABM,https://bamboobox.ai
Bardeen,Data Scraping,https://bardeen.ai
Beehiiv,Newsletter,https://beehiiv.com
BetterContact,CRM Enrichment | Email Finder | General Databases | Phone Number Finder,https://bettercontact.rocks
Bombora,ABM | Signal Tracking,https://bombora.com
BounceBan,Email Deliverability | Email Finder,https://bounceban.com
Braze,Marketing Automation | Newsletter,https://braze.com
Breakcold,CRM,https://breakcold.com
Brevo,Marketing Automation | Newsletter,https://brevo.com
Brightdata,Data Scraping,https://brightdata.com
BuiltWith,Signal Tracking,https://builtwith.com
Cal.com,Meeting Scheduling,https://cal.com
Canva,Content Design,https://canva.com
CaptainData,Search API,https://captaindata.com
Cargo,AI Agent Builder | Data Orchestration | Workflow Automation,https://getcargo.io
Chargebee,Revenue Infrastructure,https://chargebee.com
ChilliPiper,Meeting Scheduling,https://chilipiper.com
Circleback,AI Notetaker,https://circleback.ai
Clari,Revenue Infrastructure | Sales Enablement,https://clari.com
Claude Code,AI Agent Builder | Workflow Automation,https://claude.com/product/claude-code
Clay,ABM | All-in-one Sales Prospecting | CRM Enrichment | Data Orchestration | Data Scraping | General Databases | Inbound Orchestration | Signal Tracking | Workflow Automation,https://clay.com
Close.com,CRM,https://close.com
Cloudflare,Email Deliverability,https://cloudflare.com
CloudTalk,Cold Call Dialer,https://cloudtalk.io
Cluely,AI Notetaker,https://cluely.com
Cognism,All-in-one Sales Prospecting | General Databases,https://cognism.com
CommonRoom,ABM | Data Orchestration | Signal Tracking,https://commonroom.co
ConnectAndSell,Cold Call Dialer,https://connectandsell.com
ContactOut,Email Finder,https://contactout.com
Copy.ai,Copywriting | Data Orchestration,https://copy.ai
Crew AI,AI Agent Builder,https://crewai.com
Crossbeam,Signal Tracking,https://crossbeam.com
Crustdata,Search API,https://crustdata.com
Customer.io,Marketing Automation | Newsletter,https://customer.io
Databar,Data Orchestration,https://databar.ai
Datagma,Email Finder,https://datagma.com
Day.ai,CRM,https://day.ai
Decodo,Data Scraping,https://decodo.com
Default.com,Form Builders | Inbound Orchestration | Meeting Scheduling,https://default.com
Demandbase,ABM | Signal Tracking,https://demandbase.com
DialPad,Cold Call Dialer,https://dialpad.com
Discolike,General Databases | Lookalike Databases,https://discolike.com
Dock,Sales Proposal Builder,https://dock.us
Docusign,Contract Management,https://docusign.com
Doodle,Meeting Scheduling,https://doodle.com
Dust.tt,AI Agent Builder,https://dust.tt
Easyscraper,Data Scraping,https://easyscraper.com
Emailbison,Cold Email Sequencer,https://emailbison.com
Ergo,AI Notetaker | CRM Enrichment | Revenue Infrastructure | Sales Enablement,https://joinergo.com
Exa.ai,Search API,https://exa.ai
Expandi,LinkedIn Sequencer,https://expandi.io
Factors.ai,ABM | Signal Tracking,https://factors.ai
Fathom,AI Notetaker,https://fathom.video
Favikon,Content Ideation,https://favikon.com
Fibbler,Marketing Attribution,https://fibbler.co
Figma,Content Design,https://figma.com
Findymail,CRM Enrichment | Email Deliverability | Email Finder | General Databases | Phone Number Finder | Search API,https://findymail.com
Firecrawl,AI Agent Builder | Data Scraping | Search API,https://firecrawl.dev
Fireflies,AI Notetaker,https://fireflies.ai
Fivetran,Product Analytics,https://fivetran.com
Flodesk,Marketing Automation,https://flodesk.com
Folk,CRM,https://folk.app
Forager,Phone Number Finder,https://forager.ai
forms.app,Form Builders,https://forms.app
Freckle,CRM Enrichment | Data Orchestration | Inbound Orchestration | Workflow Automation,https://freckle.io
Freshdesk,Customer Support,https://freshworks.com
Front,CRM | Customer Support | Workflow Automation,https://front.com
FullEnrich,Email Finder | Phone Number Finder,https://fullenrich.com
FullStory,Product Analytics,https://fullstory.com
Gamma,Sales Proposal Builder,https://gamma.app
GetAccept,Contract Management,https://getaccept.com
GetResponse,Marketing Automation,https://getresponse.com
GlenCoco,Cold Call Dialer,https://glencoco.com
GlockApps,Email Deliverability,https://glockapps.com
GoHighLevel,CRM | Marketing Automation,https://gohighlevel.com
Gong,AI Notetaker | CRM Enrichment | Revenue Infrastructure,https://gong.io
Grain,AI Notetaker | Revenue Infrastructure,https://grain.com
Gumloop,AI Agent Builder | Data Orchestration | Workflow Automation,https://gumloop.com
Help Scout,Customer Support,https://helpscout.com
Heyflow,Form Builders,https://heyflow.com
HeyReach,LinkedIn Sequencer,https://heyreach.io
Hightouch,Product Analytics,https://hightouch.com
HockeyStack,Marketing Attribution,https://hockeystack.com
HubSpot,CRM | Customer Support | Form Builders | Manual Sequencer | Marketing Automation,https://hubspot.com
Hunter,Email Finder,https://hunter.io
iClosed,Inbound Orchestration | Meeting Scheduling,https://iclosed.io
Icypeas,Email Finder,https://icypeas.com
Inboxkit,Email Deliverability,https://inboxkit.com
Influ2,ABM | Marketing Attribution,https://influ2.com
influencers.club,Specialized Databases,https://influencers.club
Instantly,All-in-one Sales Prospecting | Cold Email Sequencer | Email Deliverability | Multi-channel Sequencer | Website Visitor Identification,https://instantly.ai
Intercom,Customer Support,https://intercom.com
Ironclad,Contract Management | Workflow Automation,https://ironcladapp.com
